,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2014-01-31,1782.59,26.227214247,60.0,30.0,-0.06516983460000247,0.14657967477854836
2014-02-28,1859.45,26.227214247,60.0,30.0,-0.06516983460000247,0.14657967477854836
2014-03-31,1872.34,26.3365037698,70.0,35.0,0.2939435834000008,0.2713932381416425
2014-04-30,1883.95,26.3365037698,70.0,35.0,0.2939435834000008,0.2713932381416425
2014-05-31,1923.57,26.3365037698,70.0,35.0,0.2939435834000008,0.2713932381416425
2014-06-30,1960.23,26.9146868855,80.0,40.0,0.8973352490999993,0.49568660056839947
2014-07-31,1930.67,26.9146868855,80.0,40.0,0.8973352490999993,0.49568660056839947
2014-08-31,2003.37,26.9146868855,80.0,40.0,0.8973352490999993,0.49568660056839947
2014-09-30,1972.29,26.8667932186,80.0,40.0,0.4381295659000024,0.2774776899627597
2014-10-31,2018.05,26.8667932186,80.0,40.0,0.4381295659000024,0.2774776899627597
2014-11-30,2067.56,26.8667932186,80.0,40.0,0.4381295659000024,0.2774776899627597
2014-12-31,2058.9,27.3465381458,95.0,47.5,1.1193238988000012,0.5516581756749441
2015-01-31,1994.99,27.3465381458,95.0,47.5,1.1193238988000012,0.5516581756749441
2015-02-28,2104.5,27.3465381458,95.0,47.5,1.1193238988000012,0.5516581756749441
2015-03-31,2067.89,27.3638912843,100.0,50.0,1.027387514499999,0.501356590539986
2015-04-30,2085.51,27.3638912843,100.0,50.0,1.027387514499999,0.501356590539986
2015-05-31,2107.39,27.3638912843,100.0,50.0,1.027387514499999,0.501356590539986
2015-06-30,2063.11,27.3623846607,95.0,50.0,0.4476977751999982,0.2621177769302611
2015-07-31,2103.84,27.3623846607,95.0,50.0,0.4476977751999982,0.2621177769302611
2015-08-31,1972.18,27.3623846607,95.0,50.0,0.4476977751999982,0.2621177769302611
2015-09-30,1920.03,26.8898518472,80.0,42.5,0.023058628599997633,0.092170201153928
2015-10-31,2079.36,26.8898518472,80.0,42.5,0.023058628599997633,0.092170201153928
2015-11-30,2080.41,26.8898518472,80.0,42.5,0.023058628599997633,0.092170201153928
2015-12-31,2043.94,26.4728334083,70.0,40.0,-0.8737047374999989,-0.2808183641276769
2016-01-31,1940.24,26.4728334083,70.0,40.0,-0.8737047374999989,-0.2808183641276769
2016-02-29,1932.23,26.4728334083,70.0,40.0,-0.8737047374999989,-0.2808183641276769
2016-03-31,2059.74,26.1360021381,45.0,30.0,-1.227889146199999,-0.42071577668736587
2016-04-30,2065.3,26.1360021381,45.0,30.0,-1.227889146199999,-0.42071577668736587
2016-05-31,2096.96,26.1360021381,45.0,30.0,-1.227889146199999,-0.42071577668736587
2016-06-30,2098.86,26.250941639,50.0,35.0,-1.1114430216999978,-0.3601108667021639
2016-07-31,2173.6,26.250941639,50.0,35.0,-1.1114430216999978,-0.3601108667021639
2016-08-31,2170.95,26.250941639,50.0,35.0,-1.1114430216999978,-0.3601108667021639
2016-09-30,2168.27,25.7521795245,10.0,15.0,-1.1376723226999985,-0.3580500175964076
2016-10-31,2126.15,25.7521795245,10.0,15.0,-1.1376723226999985,-0.3580500175964076
2016-11-30,2198.81,25.7521795245,10.0,15.0,-1.1376723226999985,-0.3580500175964076
2016-12-31,2238.83,25.2790765583,0.0,10.0,-1.1937568499999998,-0.3665618443602401
2017-01-31,2278.87,25.2790765583,0.0,10.0,-1.1937568499999998,-0.3665618443602401
2017-02-28,2363.64,25.2790765583,0.0,10.0,-1.1937568499999998,-0.3665618443602401
2017-03-31,2362.72,24.9253382188,0.0,7.5,-1.2106639193,-0.35285581936797217
2017-04-30,2384.2,24.9253382188,0.0,7.5,-1.2106639193,-0.35285581936797217
2017-05-31,2411.8,24.9253382188,0.0,7.5,-1.2106639193,-0.35285581936797217
2017-06-30,2423.41,25.3089225393,10.0,15.0,-0.9420190997000013,-0.21532038795156283
2017-07-31,2470.3,25.3089225393,10.0,15.0,-0.9420190997000013,-0.21532038795156283
2017-08-31,2471.65,25.3089225393,10.0,15.0,-0.9420190997000013,-0.21532038795156283
2017-09-30,2519.36,25.4355105783,15.0,20.0,-0.3166689462000001,0.07571046928738188
2017-10-31,2575.26,25.4355105783,15.0,20.0,-0.3166689462000001,0.07571046928738188
2017-11-30,2647.58,25.4355105783,15.0,20.0,-0.3166689462000001,0.07571046928738188
2017-12-31,2673.61,25.392280971,15.0,17.5,0.11320441270000003,0.2988139140185271
2018-01-31,2823.81,25.392280971,15.0,17.5,0.11320441270000003,0.2988139140185271
2018-02-28,2713.83,25.392280971,15.0,17.5,0.11320441270000003,0.2988139140185271
2018-03-31,2640.87,25.9335244547,30.0,32.5,1.0081862358999985,0.7437866470434572
2018-04-30,2648.05,25.9335244547,30.0,32.5,1.0081862358999985,0.7437866470434572
2018-05-31,2705.27,25.9335244547,30.0,32.5,1.0081862358999985,0.7437866470434572
2018-06-30,2718.37,25.9871304782,35.0,35.0,0.6782079389000017,0.6381058694001889
2018-07-31,2816.29,25.9871304782,35.0,35.0,0.6782079389000017,0.6381058694001889
2018-08-31,2901.52,25.9871304782,35.0,35.0,0.6782079389000017,0.6381058694001889
2018-09-30,2913.98,28.2401767716,100.0,85.0,2.804666193300001,1.6222266776434668
2018-10-31,2711.74,28.2401767716,100.0,85.0,2.804666193300001,1.6222266776434668
2018-11-30,2760.17,28.2401767716,100.0,85.0,2.804666193300001,1.6222266776434668
2018-12-31,2506.85,28.1115265887,95.0,85.0,2.719245617699997,1.5455432062211412
2019-01-31,2704.1,28.1115265887,95.0,85.0,2.719245617699997,1.5455432062211412
2019-02-28,2784.49,28.1115265887,95.0,85.0,2.719245617699997,1.5455432062211412
2019-03-31,2834.4,28.4295621274,100.0,90.0,2.4960376727000018,1.3917972036454256
2019-04-30,2945.83,28.4295621274,100.0,90.0,2.4960376727000018,1.3917972036454256
2019-05-31,2752.06,28.4295621274,100.0,90.0,2.4960376727000018,1.3917972036454256
2019-06-30,2941.76,28.9077874254,100.0,95.0,2.9206569471999977,1.491448446934682
2019-07-31,2980.38,28.9077874254,100.0,95.0,2.9206569471999977,1.491448446934682
2019-08-31,2926.46,28.9077874254,100.0,95.0,2.9206569471999977,1.491448446934682
2019-09-30,2976.74,28.829452056,95.0,92.5,0.5892752843999993,0.42715162286663316
2019-10-31,3037.56,28.829452056,95.0,92.5,0.5892752843999993,0.42715162286663316
2019-11-30,3140.98,28.829452056,95.0,92.5,0.5892752843999993,0.42715162286663316
2019-12-31,3230.78,28.3226328065,85.0,90.0,0.21110621780000116,0.21187223840063013
2020-01-31,3225.52,28.3226328065,85.0,90.0,0.21110621780000116,0.21187223840063013
2020-02-29,2954.22,28.3226328065,85.0,90.0,0.21110621780000116,0.21187223840063013
2020-03-31,2584.59,28.2311856625,75.0,87.5,-0.19837646490000083,-0.0655415188286207
2020-04-30,2912.43,28.2311856625,75.0,87.5,-0.19837646490000083,-0.0655415188286207
2020-05-31,3044.31,28.2311856625,75.0,87.5,-0.19837646490000083,-0.0655415188286207
2020-06-30,3100.29,31.4216701046,100.0,100.0,2.5138826792000017,1.4264369408425357
2020-07-31,3271.12,31.4216701046,100.0,100.0,2.5138826792000017,1.4264369408425357
2020-08-31,3500.31,31.4216701046,100.0,100.0,2.5138826792000017,1.4264369408425357
2020-09-30,3363.0,30.0373489813,95.0,97.5,1.2078969252999983,0.6286357045028937
2020-10-31,3269.96,30.0373489813,95.0,97.5,1.2078969252999983,0.6286357045028937
2020-11-30,3621.63,30.0373489813,95.0,97.5,1.2078969252999983,0.6286357045028937
2020-12-31,3756.08,28.5389699902,80.0,90.0,0.21633718369999855,-0.1066905435814436
2021-01-31,3714.25,28.5389699902,80.0,90.0,0.21633718369999855,-0.1066905435814436
2021-02-28,3811.16,28.5389699902,80.0,90.0,0.21633718369999855,-0.1066905435814436
2021-03-31,3972.9,28.0241886949,50.0,75.0,-0.20699696759999853,-0.5231277839808389
